,EMP,EMPSZES,GEO_ID,PAYANN,ESTAB,YEAR,zip code
588,57,1,8610000US01355,2182,18,2017,01355
589,287,1,8610000US01354,8101,22,2017,01354
593,770,1,8610000US01360,36475,49,2017,01360
599,1284,1,8610000US01364,51173,133,2017,01364
605,60,1,8610000US01366,1316,30,2017,01366
607,73,1,8610000US01367,5310,7,2017,01367
609,38,1,8610000US01368,671,8,2017,01368
610,541,1,8610000US01370,15261,115,2017,01370
616,2938,1,8610000US01373,155722,146,2017,01373
624,640,1,8610000US01375,36463,50,2017,01375
629,1582,1,8610000US01376,69194,103,2017,01376
636,3,1,8610000US01378,135,4,2017,01378
638,21,1,8610000US01379,316,11,2017,01379
639,10607,1,8610000US01420,384241,767,2017,01420
651,693,1,8610000US01430,27072,98,2017,01430
653,165,1,8610000US01431,7159,58,2017,01431
656,4117,1,8610000US01432,234107,240,2017,01432
662,3060,1,8610000US01434,211385,76,2017,01434
669,546,1,8610000US01436,25738,35,2017,01436
674,217,1,8610000US01438,10652,18,2017,01438
677,7163,1,8610000US01440,285640,409,2017,01440
684,1961,1,8610000US01450,82693,205,2017,01450
694,848,1,8610000US01451,50779,141,2017,01451
698,18768,1,8610000US01453,738464,1134,2017,01453
706,8168,1,8610000US01460,678779,324,2017,01460
715,294,1,8610000US01452,11093,51,2017,01452
720,2075,1,8610000US01462,96857,224,2017,01462
726,1252,1,8610000US01463,51315,230,2017,01463
730,1442,1,8610000US01464,70700,122,2017,01464
736,32,1,8610000US01467,1246,8,2017,01467
738,301,1,8610000US01468,11861,57,2017,01468
743,1385,1,8610000US01469,51020,132,2017,01469
749,156,1,8610000US01472,4755,9,2017,01472
751,1270,1,8610000US01473,57660,168,2017,01473
758,100,1,8610000US01474,3935,29,2017,01474
761,1135,1,8610000US01475,36404,140,2017,01475
767,11481,1,8610000US01501,504905,618,2017,01501
774,432,1,8610000US01503,17571,92,2017,01503
779,898,1,8610000US01504,31672,140,2017,01504
784,1434,1,8610000US01505,73572,124,2017,01505
791,165,1,8610000US01506,4831,46,2017,01506
796,2961,1,8610000US01507,152541,247,2017,01507
800,348,1,8610000US01508,8467,28,2017,01508
805,16,1,8610000US01509,1082,5,2017,01509
807,3392,1,8610000US01510,167655,260,2017,01510
814,338,1,8610000US01515,13179,44,2017,01515
818,702,1,8610000US01516,28412,121,2017,01516
823,647,1,8610000US01518,25420,69,2017,01518
829,1405,1,8610000US01519,65665,104,2017,01519
834,3128,1,8610000US01520,126122,276,2017,01520
841,63,1,8610000US01521,1825,22,2017,01521
844,118,1,8610000US01522,4322,36,2017,01522
848,2747,1,8610000US01523,131000,134,2017,01523
856,1342,1,8610000US01524,39520,108,2017,01524
861,169,1,8610000US01525,6594,20,2017,01525
865,32,1,8610000US01526,829,9,2017,01526
868,4524,1,8610000US01527,163904,312,2017,01527
875,123,1,8610000US01529,4013,33,2017,01529
878,37,1,8610000US01531,1934,17,2017,01531
880,8230,1,8610000US01532,379339,518,2017,01532
890,954,1,8610000US01534,43861,80,2017,01534
894,803,1,8610000US01535,34811,81,2017,01535
900,2270,1,8610000US01536,139124,148,2017,01536
906,892,1,8610000US01537,42900,77,2017,01537
911,101,1,8610000US01538,3242,14,2017,01538
915,4590,1,8610000US01540,279157,226,2017,01540
922,1299,1,8610000US01541,18336,69,2017,01541
927,398,1,8610000US01542,20357,30,2017,01542
930,1035,1,8610000US01543,39171,116,2017,01543
934,11740,1,8610000US01545,533382,818,2017,01545
940,4990,1,8610000US01550,229396,321,2017,01550
950,339,1,8610000US01560,17047,61,2017,01560
954,513,1,8610000US01561,17130,24,2017,01561
957,2736,1,8610000US01562,115649,223,2017,01562
963,2309,1,8610000US01564,103031,195,2017,01564
970,3558,1,8610000US01566,120221,238,2017,01566
977,768,1,8610000US01568,31266,157,2017,01568
982,3145,1,8610000US01569,154400,275,2017,01569
989,6624,1,8610000US01570,290280,367,2017,01570
996,2438,1,8610000US01571,97446,175,2017,01571
1002,24728,1,8610000US01581,1796472,972,2017,01581
1010,2658,1,8610000US01583,105838,250,2017,01583
1017,774,1,8610000US01585,29869,86,2017,01585
1022,3094,1,8610000US01588,122158,218,2017,01588
1030,1987,1,8610000US01590,99209,174,2017,01590
1035,2848,1,8610000US01602,97627,321,2017,01602
1036,527,1,8610000US01601,30598,9,2017,01601
1044,6759,1,8610000US01603,238322,410,2017,01603
1051,10067,1,8610000US01604,377701,720,2017,01604
1066,23359,1,8610000US01605,1540759,602,2017,01605
1067,9619,1,8610000US01606,426514,449,2017,01606
1074,3365,1,8610000US01607,123201,145,2017,01607
1083,13397,1,8610000US01608,818876,529,2017,01608
1091,11233,1,8610000US01609,409440,536,2017,01609
1099,9459,1,8610000US01610,337634,355,2017,01610
1106,316,1,8610000US01611,10535,34,2017,01611
1109,867,1,8610000US01612,24453,76,2017,01612
1114,559,1,8610000US01615,41058,12,2017,01615
1115,221,1,8610000US01613,11024,21,2017,01613
1121,66,1,8610000US01655,2924,6,2017,01655
1122,28506,1,8610000US01701,2361006,1231,2017,01701
1131,14460,1,8610000US01702,977806,905,2017,01702
1140,27,1,8610000US01703,659,7,2017,01703
1142,13,1,8610000US01704,363,3,2017,01704
1144,4491,1,8610000US01719,689538,135,2017,01719
1152,8756,1,8610000US01720,493677,722,2017,01720
1159,4742,1,8610000US01721,199073,412,2017,01721
1167,17591,1,8610000US01730,1728981,535,2017,01730
1176,294,1,8610000US01731,27059,29,2017,01731
1179,1104,1,8610000US01740,60239,123,2017,01740
1185,529,1,8610000US01741,33922,109,2017,01741
1189,11234,1,8610000US01742,820297,808,2017,01742
1195,126,1,8610000US01745,9528,15,2017,01745
1198,5266,1,8610000US01746,343283,394,2017,01746
1206,1998,1,8610000US01747,126064,163,2017,01747
1213,15695,1,8610000US01748,2061827,467,2017,01748
1222,8329,1,8610000US01749,408528,553,2017,01749
1230,36513,1,8610000US01752,3668910,1496,2017,01752
1240,2720,1,8610000US01754,279935,277,2017,01754
1246,1111,1,8610000US01756,41934,144,2017,01756
1252,16454,1,8610000US01757,1104875,865,2017,01757
1260,20994,1,8610000US01760,1393527,1335,2017,01760
1267,471,1,8610000US01770,29202,102,2017,01770
1271,8231,1,8610000US01772,723587,349,2017,01772
1278,1521,1,8610000US01773,72874,142,2017,01773
1284,1168,1,8610000US01775,56464,150,2017,01775
1290,5831,1,8610000US01776,319708,549,2017,01776
1299,3409,1,8610000US01778,186339,366,2017,01778
1306,44138,1,8610000US01801,3115394,2162,2017,01801
1315,42541,1,8610000US01803,4039639,1545,2017,01803
1328,28806,1,8610000US01810,2679945,1020,2017,01810
1337,15576,1,8610000US01821,1377792,730,2017,01821
1346,20600,1,8610000US01824,1537997,839,2017,01824
1355,5353,1,8610000US01826,218094,549,2017,01826
1362,175,1,8610000US01827,7972,53,2017,01827
1365,6817,1,8610000US01830,259123,498,2017,01830
1372,156,1,8610000US01831,8357,14,2017,01831
1375,5012,1,8610000US01832,207329,332,2017,01832
1382,1743,1,8610000US01833,87919,199,2017,01833
1385,1042,1,8610000US01834,68265,119,2017,01834
1390,5694,1,8610000US01835,255944,307,2017,01835
1397,5536,1,8610000US01840,209520,352,2017,01840
1404,6318,1,8610000US01841,271992,429,2017,01841
1414,227,1,8610000US01842,15830,20,2017,01842
1418,10735,1,8610000US01843,586314,494,2017,01843
1426,17511,1,8610000US01844,733709,944,2017,01844
1435,16214,1,8610000US01845,854969,902,2017,01845
1443,1676,1,8610000US01850,45785,111,2017,01850
1448,10531,1,8610000US01851,763148,484,2017,01851
1455,10890,1,8610000US01852,450591,766,2017,01852
1463,355,1,8610000US01853,20304,17,2017,01853
1467,7031,1,8610000US01854,364818,311,2017,01854
1474,666,1,8610000US01860,22666,92,2017,01860
1477,8695,1,8610000US01862,636251,409,2017,01862
1488,2750,1,8610000US01863,175543,235,2017,01863
1495,6991,1,8610000US01864,483889,526,2017,01864
1502,5,1,8610000US01865,188,3,2017,01865
1505,7360,1,8610000US01867,353585,560,2017,01867
1513,16102,1,8610000US01876,981005,738,2017,01876
1522,3953,1,8610000US01879,162443,317,2017,01879
1529,13513,1,8610000US01880,902224,929,2017,01880
1537,25,1,8610000US01885,1070,10,2017,01885
1539,10059,1,8610000US01886,886969,644,2017,01886
1547,22412,1,8610000US01887,1737904,847,2017,01887
1557,223,1,8610000US01888,28940,14,2017,01888
1559,7237,1,8610000US01890,429568,557,2017,01890
1566,6863,1,8610000US01901,304862,291,2017,01901
1574,3788,1,8610000US01902,146612,434,2017,01902
1581,73,1,8610000US01903,2851,8,2017,01903
1583,2664,1,8610000US01904,79632,299,2017,01904
1590,4001,1,8610000US01905,173710,333,2017,01905
1597,10235,1,8610000US01906,309800,791,2017,01906
1604,3052,1,8610000US01907,101852,336,2017,01907
1610,216,1,8610000US01908,9962,40,2017,01908
1614,4335,1,8610000US01913,202975,432,2017,01913
1621,22580,1,8610000US01915,1311795,1301,2017,01915
1631,901,1,8610000US01921,56128,145,2017,01921
1636,707,1,8610000US01922,35466,64,2017,01922
1639,32198,1,8610000US01923,1405451,1128,2017,01923
1649,1095,1,8610000US01929,57811,145,2017,01929
1655,9438,1,8610000US01930,545801,901,2017,01930
1662,70,1,8610000US01931,2378,12,2017,01931
1664,96,1,8610000US01936,2550,13,2017,01936
1665,44,1,8610000US01937,955,5,2017,01937
1667,5021,1,8610000US01938,346826,383,2017,01938
1673,5292,1,8610000US01940,291781,428,2017,01940
